"Create a policy binding that grants the viewer role to user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"  
"Add a policy binding to allow both storage admin and bigquery data editor roles to team@example.com","""bindings"": [\n  {\n    ""role"": ""roles/storage.admin"",\n    ""members"": [\n      ""user:team@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/bigquery.dataEditor"",\n    ""members"": [\n      ""user:team@example.com""\n    ]\n  }\n]"  
"Grant the compute instance admin role to dev-team@example.com and read access to dev@example.com","""bindings"": [\n  {\n    ""role"": ""roles/compute.instanceAdmin"",\n    ""members"": [\n      ""user:dev-team@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/compute.viewer"",\n    ""members"": [\n      ""user:dev@example.com""\n    ]\n  }\n]"  
"Assign the cloud functions developer role to function-admin@example.com and the cloud functions viewer role to function-viewer@example.com","""bindings"": [\n  {\n    ""role"": ""roles/cloudfunctions.developer"",\n    ""members"": [\n      ""user:function-admin@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/cloudfunctions.viewer"",\n    ""members"": [\n      ""user:function-viewer@example.com""\n    ]\n  }\n]"  
"Create a policy binding that grants the owner role to admin@example.com and the editor role to editor@example.com","""bindings"": [\n  {\n    ""role"": ""roles/owner"",\n    ""members"": [\n      ""user:admin@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""user:editor@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Storage Admin role to the user with the email user@example.com and also grants the Viewer role to the group with the email group@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/storage.admin"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""group:group@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Data Analyst role to my user alice@example.com and the Viewer role to my user bob@example.com.","""bindings"": [\n  {\n    ""role"": ""roles/bigquery.dataViewer"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:bob@example.com""\n    ]\n  }\n]"
"Generate a policy binding that will grant the user alice@example.com the role of viewer and the group devs@example.com the role of editor.","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:alice@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:devs@example.com""\n    ]\n  }\n]"
"Create a policy binding that grants the Viewer role to the user with the email user@example.com","""bindings"": [\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  }\n]"  
"Generate a policy binding to assign the Editor role to the group with the email editors@example.com and the Storage Admin role to the user with the email admin@example.com","""bindings"": [\n  {\n    ""role"": ""roles/editor"",\n    ""members"": [\n      ""group:editors@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/storage.admin"",\n    ""members"": [\n      ""user:admin@example.com""\n    ]\n  }\n]"  
"Request a policy binding that gives the Compute Admin role to the service account service@myproject.iam.gserviceaccount.com and the Viewer role to the user user1@example.com","""bindings"": [\n  {\n    ""role"": ""roles/compute.admin"",\n    ""members"": [\n      ""serviceAccount:service@myproject.iam.gserviceaccount.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""user:user1@example.com""\n    ]\n  }\n]"
"Please create a policy binding to assign the Owner role to the user with the email owner@example.com and the Viewer role to the group with the email viewers@example.com","""bindings"": [\n  {\n    ""role"": ""roles/owner"",\n    ""members"": [\n      ""user:owner@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/viewer"",\n    ""members"": [\n      ""group:viewers@example.com""\n    ]\n  }\n]"  
"Establish a policy binding to provide the Pub/Sub Publisher role to the user user@example.com and the Pub/Sub Subscriber role to the service account service@myproject.iam.gserviceaccount.com","""bindings"": [\n  {\n    ""role"": ""roles/pubsub.publisher"",\n    ""members"": [\n      ""user:user@example.com""\n    ]\n  },\n  {\n    ""role"": ""roles/pubsub.subscriber"",\n    ""members"": [\n      ""serviceAccount:service@myproject.iam.gserviceaccount.com""\n    ]\n  }\n]"
